time,x_pos,y_pos,velocity,rotation,action
0,0,0,0,0,0
0.2118,0.00477757,0.0219148,0.2118,0.838694,0
0.298219,0.00922203,0.0434996,0.298219,0.838694,0
0.363657,0.0133408,0.0647605,0.363657,0.838694,0
0.418111,0.0171411,0.0857036,0.418111,0.838694,0
0.465474,0.0206305,0.106335,0.465474,0.838694,0
0.507755,0.0238163,0.126662,0.507755,0.838694,0
0.546154,0.0267059,0.146689,0.546154,0.838694,0
0.581458,0.0293066,0.166423,0.581458,0.838694,0
0.614218,0.0316259,0.18587,0.614218,0.838694,0
0.644837,0.033671,0.205037,0.644837,0.838694,0
0.673622,0.0354494,0.223929,0.673622,0.838694,0
0.700812,0.0369685,0.242553,0.700812,0.838694,0
0.727105,0.0382356,0.260915,0.7,0.838694,0
0.753012,0.0392581,0.27902,0.7,0.838694,0
0.778546,0.0400434,0.296877,0.7,0.838694,0
0.803719,0.0405989,0.314489,0.7,0.838694,0
0.828545,0.0409319,0.331864,0.7,0.838694,0
0.853037,0.0410498,0.349008,0.7,0.838694,0
0.877208,0.04096,0.365927,0.7,0.838694,0
0.901069,0.0406698,0.382627,0.7,0.838694,0
0.924632,0.0401867,0.399115,0.7,0.838694,0
0.94791,0.039518,0.415396,0.7,0.838694,0
0.970915,0.0386711,0.431477,0.7,0.838694,0
0.993656,0.0376533,0.447363,0.7,0.838694,0
1.01615,0.0364721,0.463062,0.7,0.838694,0
1.0384,0.0351348,0.478579,0.7,0.838694,0
1.06041,0.0336489,0.49392,0.7,0.838694,0
1.08221,0.0320215,0.509092,0.7,0.838694,0
1.1038,0.0302603,0.5241,0.7,0.838694,0
1.12519,0.0283724,0.538952,0.7,0.838694,0
1.14638,0.0263654,0.553653,0.7,0.838694,0
1.1674,0.0242465,0.568208,0.7,0.838694,0
1.18824,0.0220231,0.582626,0.7,0.838694,0
1.20891,0.0197027,0.596911,0.7,0.838694,0
1.22943,0.0172926,0.61107,0.7,0.838694,0
1.2498,0.0148002,0.625109,0.7,0.838694,0
1.27003,0.0122328,0.639034,0.7,0.838694,0
1.29012,0.00959788,0.652852,0.7,0.838694,0
1.31009,0.00690275,0.666568,0.7,0.838694,0
1.32994,0.00415479,0.680189,0.7,0.838694,0
1.34968,0.0013614,0.693721,0.7,0.838694,0
1.36931,-0.00147007,0.70717,0.7,0.838694,0
1.38885,-0.00433221,0.720542,0.7,0.838694,0
1.4083,-0.00721768,0.733843,0.7,0.838694,0
1.42765,-0.0101191,0.747081,0.7,0.838694,0
1.44694,-0.013029,0.76026,0.7,0.838694,0
1.46614,-0.0159402,0.773387,0.7,0.838694,0
1.48529,-0.0188452,0.786468,0.7,0.838694,0
1.50437,-0.0217366,0.79951,0.7,0.838694,0
1.5234,-0.024607,0.812518,0.7,0.838694,0
1.54238,-0.0274491,0.825499,0.7,0.838694,0
1.56133,-0.0302556,0.838459,0.7,0.838694,0
1.58024,-0.033019,0.851404,0.7,0.838694,0
1.59912,-0.0357319,0.86434,0.7,0.838694,0
1.61798,-0.038387,0.877273,0.7,0.838694,0
1.63683,-0.0409769,0.89021,0.7,0.838694,0
1.65567,-0.0434942,0.903157,0.7,0.838694,0
1.67451,-0.0459316,0.91612,0.7,0.838694,0
1.69336,-0.0482816,0.929105,0.7,0.838694,0
1.71223,-0.050537,0.942119,0.7,0.838694,0
1.73112,-0.0526903,0.955166,0.7,0.838694,0
1.75005,-0.0547341,0.968255,0.7,0.838694,0
1.76901,-0.0566611,0.98139,0.7,0.838694,0
1.78803,-0.0584639,0.994579,0.7,0.838694,0
1.80711,-0.0601351,1.00783,0.7,0.838694,0
1.82625,-0.0616673,1.02114,0.7,0.838694,0
1.84547,-0.0630532,1.03452,0.7,0.838694,0
1.86479,-0.0642854,1.04799,0.7,0.838694,0
1.8842,-0.0653565,1.06153,0.7,0.838694,0
1.90372,-0.0662592,1.07517,0.7,0.838694,0
1.92337,-0.066986,1.0889,0.7,0.838694,0
1.94315,-0.0675296,1.10274,0.7,0.838694,0
1.96307,-0.0678826,1.11668,0.7,0.838694,0
1.98316,-0.0680376,1.13074,0.7,0.838694,0
2.00342,-0.0679873,1.14492,0.7,0.838694,0
2.02386,-0.0677243,1.15923,0.7,0.838694,0
2.0445,-0.0672412,1.17367,0.7,0.838694,0
2.06535,-0.0665306,1.18825,0.7,0.838694,0
2.08643,-0.0655852,1.20297,0.7,0.838694,0
2.10775,-0.0643975,1.21785,0.7,0.838694,0
2.12933,-0.0629603,1.23289,0.7,0.838694,0
2.15118,-0.061266,1.24809,0.7,0.838694,0
2.17368,-0.0593074,1.26346,0.677503,0.838694,0
2.19727,-0.0570771,1.279,0.65391,0.838694,0
2.2221,-0.0545677,1.29473,0.629079,0.838694,0
2.24834,-0.0517719,1.31065,0.60284,0.838694,0
2.2762,-0.0486821,1.32677,0.574979,0.838694,0
2.30595,-0.0452911,1.34308,0.545227,0.838694,0
2.33794,-0.0415916,1.3596,0.513234,0.838694,0
2.37265,-0.037576,1.37634,0.478525,0.838694,0
2.41075,-0.0332371,1.3933,0.440432,0.838694,0
2.45322,-0.0285674,1.41048,0.397956,0.838694,0
2.50171,-0.0235597,1.42789,0.349468,0.838694,0
2.55923,-0.0182064,1.44555,0.291949,0.838694,0
2.63286,-0.0125003,1.46345,0.218319,0.838694,0
2.75427,-0.00643396,1.48159,0.0969122,0.838694,0
2.85118,0,1.5,0,0.838694,0
2.98362,0.00255399,1.49161,0.132439,3.8591,0
3.03939,0.0050684,1.48303,0.188208,3.8591,0
3.08279,0.00754348,1.47426,0.23161,3.8591,0
3.11988,0.00997944,1.46531,0.268706,3.8591,0
3.153,0.0123765,1.45617,0.301827,3.8591,0
3.18334,0.0147349,1.44685,0.332162,3.8591,0
3.21159,0.0170549,1.43734,0.360412,3.8591,0
3.23821,0.0193366,1.42766,0.387031,3.8591,0
3.26351,0.0215803,1.4178,0.412335,3.8591,0
3.28773,0.0237863,1.40776,0.436548,3.8591,0
3.31102,0.0259548,1.39755,0.459841,3.8591,0
3.33352,0.0280859,1.38716,0.482344,3.8591,0
3.35534,0.0301799,1.37661,0.504163,3.8591,0
3.37656,0.0322371,1.36588,0.525379,3.8591,0
3.39724,0.0342576,1.35499,0.54606,3.8591,0
3.41744,0.0362417,1.34393,0.566263,3.8591,0
3.43721,0.0381896,1.3327,0.586036,3.8591,0
3.4566,0.0401016,1.32132,0.605418,3.8591,0
3.47562,0.0419778,1.30977,0.624444,3.8591,0
3.49432,0.0438185,1.29806,0.643143,3.8591,0
3.51272,0.0456239,1.2862,0.661541,3.8591,0
3.53084,0.0473943,1.27418,0.67966,3.8591,0
3.5487,0.0491298,1.262,0.697521,3.8591,0
3.56632,0.0508307,1.24967,0.71514,3.8591,0
3.5843,0.0524972,1.23719,0.7,3.8591,0
