time,x_pos,y_pos,velocity,rotation
0,0,0,0,0
0.0243313,4e-06,-0.000592,0.0486627,0
0.0483346,3.2e-05,-0.002336,0.0966693,0
0.0720087,0.000108,-0.005184,0.144017,0
0.0953523,0.000256,-0.009088,0.190705,0
0.118364,0.0005,-0.014,0.236729,0
0.141044,0.000864,-0.019872,0.282088,0
0.16339,0.001372,-0.026656,0.326781,0
0.185403,0.002048,-0.034304,0.370806,0
0.207081,0.002916,-0.042768,0.414162,0
0.228425,0.004,-0.052,0.45685,0
0.249435,0.005324,-0.061952,0.498869,0
0.270111,0.006912,-0.072576,0.540221,0
0.290453,0.008788,-0.083824,0.580907,0
0.310464,0.010976,-0.095648,0.620928,0
0.330144,0.0135,-0.108,0.660288,0
0.349496,0.016384,-0.120832,0.698991,0
0.368521,0.019652,-0.134096,0.737042,0
0.387224,0.023328,-0.147744,0.774448,0
0.405607,0.027436,-0.161728,0.811214,0
0.423676,0.032,-0.176,0.847351,0
0.441435,0.037044,-0.190512,0.88287,0
0.458891,0.042592,-0.205216,0.917781,0
0.47605,0.048668,-0.220064,0.9521,0
0.492921,0.055296,-0.235008,0.985843,0
0.509514,0.0625,-0.25,1.01903,0
0.525838,0.070304,-0.264992,1.05168,0
0.541907,0.078732,-0.279936,1.08381,0
0.557732,0.087808,-0.294784,1.11546,0
0.57333,0.097556,-0.309488,1.14666,0
0.588716,0.108,-0.324,1.17743,0
0.603909,0.119164,-0.338272,1.20782,0
0.618929,0.131072,-0.352256,1.23786,0
0.633798,0.143748,-0.365904,1.2676,0
0.648539,0.157216,-0.379168,1.29708,0
0.663177,0.1715,-0.392,1.32635,0
0.67774,0.186624,-0.404352,1.35548,0
0.692255,0.202612,-0.416176,1.38451,0
0.706751,0.219488,-0.427424,1.4135,0
0.72126,0.237276,-0.438048,1.44252,0
0.735813,0.256,-0.448,1.47163,0
0.750442,0.275684,-0.457232,1.50088,0
0.765177,0.296352,-0.465696,1.53035,0
0.780053,0.318028,-0.473344,1.56011,0
0.795099,0.340736,-0.480128,1.5902,0
0.810346,0.3645,-0.486,1.62069,0
0.825824,0.389344,-0.490912,1.65165,0
0.841561,0.415292,-0.494816,1.68312,0
0.857584,0.442368,-0.497664,1.71517,0
0.873918,0.470596,-0.499408,1.74784,0
0.890586,0.5,-0.5,1.78117,0
0.903674,0.523483,-0.5,1.80735,0
0.916525,0.546875,-0.5,1.83305,0
0.929149,0.570175,-0.5,1.8583,0
0.941555,0.593383,-0.5,1.88311,0
0.953753,0.616501,-0.5,1.90751,0
0.965749,0.639529,-0.5,1.9315,0
0.977553,0.662466,-0.5,1.95511,0
0.98917,0.685313,-0.5,1.97834,0
1.00061,0.708072,-0.5,2.00121,0
1.01187,0.730741,-0.5,2.02374,0
1.02297,0.753321,-0.5,2.04594,0
1.0339,0.775814,-0.5,2.06781,0
1.04468,0.798218,-0.5,2.08936,0
1.05531,0.820535,-0.5,2.11062,0
1.06579,0.842764,-0.5,2.13158,0
1.07613,0.864907,-0.5,2.15225,0
1.08633,0.886963,-0.5,2.17265,0
1.09639,0.908933,-0.5,2.19279,0
1.10633,0.930817,-0.5,2.21266,0
1.11614,0.952616,-0.5,2.23227,0
1.12582,0.97433,-0.5,2.25164,0
1.13539,0.995959,-0.5,2.27077,0
1.14484,1.0175,-0.5,2.28967,0
1.15417,1.03897,-0.5,2.30834,0
1.16339,1.06034,-0.5,2.32679,0
1.17251,1.08164,-0.5,2.34502,0
1.18152,1.10285,-0.5,2.36304,0
1.19043,1.12398,-0.5,2.38086,0
1.19924,1.14502,-0.5,2.39847,0
1.20795,1.16599,-0.5,2.41589,0
1.21656,1.18687,-0.5,2.43312,0
1.22508,1.20767,-0.5,2.45016,0
1.23351,1.2284,-0.5,2.46701,0
1.24185,1.24904,-0.5,2.48369,0
1.2501,1.2696,-0.5,2.50019,0
1.25826,1.29008,-0.5,2.51652,0
1.26634,1.31048,-0.5,2.53269,0
1.27434,1.33081,-0.5,2.54869,0
1.28226,1.35105,-0.5,2.56452,0
1.2901,1.37122,-0.5,2.5802,0
1.29786,1.39131,-0.5,2.59573,0
1.30555,1.41132,-0.5,2.6111,0
