time,x_pos,y_pos,velocity,rotation,action
0,0,0,0,0,0
0.175864,0.0154639,7.283e-05,0.175864,0,0
0.248715,0.0309278,0.000289304,0.248715,0,0
0.304623,0.0463918,0.000646398,0.304623,0,0
0.351765,0.0618557,0.00114109,0.351765,0,0
0.393309,0.0773196,0.00177035,0.393309,0,0
0.43088,0.0927835,0.00253116,0.43088,0,0
0.465442,0.108247,0.00342049,0.465442,0,0
0.497625,0.123711,0.00443532,0.497625,0,0
0.527866,0.139175,0.00557263,0.527866,0,0
0.556482,0.154639,0.00682939,0.556482,0,0
0.583713,0.170103,0.00820257,0.583713,0,0
0.609747,0.185567,0.00968916,0.609747,0,0
0.634732,0.201031,0.0112861,0.634732,0,0
0.658786,0.216495,0.0129905,0.658786,0,0
0.68201,0.231959,0.0147991,0.68201,0,0
0.704486,0.247423,0.0167091,0.704486,0,0
0.726284,0.262887,0.0187173,0.726284,0,0
0.747463,0.27835,0.0208208,0.747463,0,0
0.768075,0.293814,0.0230166,0.768075,0,0
0.788164,0.309278,0.0253015,0.788164,0,0
0.80777,0.324742,0.0276726,0.80777,0,0
0.826926,0.340206,0.0301269,0.826926,0,0
0.845664,0.35567,0.0326614,0.845664,0,0
0.86401,0.371134,0.0352729,0.86401,0,0
0.881989,0.386598,0.0379585,0.881989,0,0
0.899622,0.402062,0.0407152,0.899622,0,0
0.916929,0.417526,0.04354,0.916929,0,0
0.933928,0.43299,0.0464298,0.933928,0,0
0.950636,0.448454,0.0493815,0.950636,0,0
0.967066,0.463918,0.0523923,0.967066,0,0
0.983233,0.479381,0.0554589,0.983233,0,0
0.999149,0.494845,0.0585785,0.999149,0,0
1.01482,0.510309,0.061748,1.01482,0,0
1.03062,0.525773,0.0649644,1,0,0
1.04642,0.541237,0.0682246,1,0,0
1.06224,0.556701,0.0715256,1,0,0
1.07806,0.572165,0.0748645,1,0,0
1.09388,0.587629,0.0782381,1,0,0
1.10972,0.603093,0.0816435,1,0,0
1.12556,0.618557,0.0850776,1,0,0
1.1414,0.634021,0.0885374,1,0,0
1.15726,0.649485,0.0920198,1,0,0
1.17311,0.664948,0.095522,1,0,0
1.18897,0.680412,0.0990407,1,0,0
1.20483,0.695876,0.102573,1,0,0
1.2207,0.71134,0.106116,1,0,0
1.23656,0.726804,0.109667,1,0,0
1.25243,0.742268,0.113222,1,0,0
1.2683,0.757732,0.116778,1,0,0
1.28417,0.773196,0.120333,1,0,0
1.30003,0.78866,0.123884,1,0,0
1.3159,0.804124,0.127427,1,0,0
1.33176,0.819588,0.130959,1,0,0
1.34762,0.835052,0.134478,1,0,0
1.36347,0.850515,0.13798,1,0,0
1.37932,0.865979,0.141463,1,0,0
1.39517,0.881443,0.144922,1,0,0
1.41101,0.896907,0.148356,1,0,0
1.42685,0.912371,0.151762,1,0,0
1.44267,0.927835,0.155136,1,0,0
1.45849,0.943299,0.158474,1,0,0
1.47431,0.958763,0.161775,1,0,0
1.49011,0.974227,0.165036,1,0,0
1.50591,0.989691,0.168252,1,0,0
1.52169,1.00515,0.171421,1,0,0
1.53747,1.02062,0.174541,1,0,0
1.55323,1.03608,0.177608,1,0,0
1.56899,1.05155,0.180618,1,0,0
1.58473,1.06701,0.18357,1,0,0
1.60046,1.08247,0.18646,1,0,0
1.61618,1.09794,0.189285,1,0,0
1.63189,1.1134,0.192041,1,0,0
1.64758,1.12887,0.194727,1,0,0
