time,x_pos,y_pos,velocity,rotation,action
0,21.76,-0.654383,0,3.14159,0
0.198107,21.7404,-0.654264,0.198107,3.14159,0
0.279392,21.721,-0.653907,0.279392,3.14159,0
0.341237,21.7018,-0.653317,0.341237,3.14159,0
0.392942,21.6828,-0.652496,0.392942,3.14159,0
0.438137,21.6641,-0.651448,0.438137,3.14159,0
0.478672,21.6455,-0.650175,0.478672,3.14159,0
0.515669,21.6272,-0.648682,0.515669,3.14159,0
0.549843,21.6091,-0.64697,0.549843,3.14159,0
0.581708,21.5912,-0.645044,0.581708,3.14159,0
0.611624,21.5734,-0.642906,0.611624,3.14159,0
0.639891,21.5559,-0.64056,0.639891,3.14159,0
0.666707,21.5386,-0.638008,0.666707,3.14159,0
0.692266,21.5214,-0.635254,0.692266,3.14159,0
0.7167,21.5045,-0.632301,0.7167,3.14159,0
0.740124,21.4877,-0.629153,0.740124,3.14159,0
0.762655,21.4711,-0.625811,0.762655,3.14159,0
0.784359,21.4547,-0.62228,0.784359,3.14159,0
0.80532,21.4384,-0.618563,0.80532,3.14159,0
0.825589,21.4224,-0.614663,0.825589,3.14159,0
0.845234,21.4065,-0.610582,0.845234,3.14159,0
0.864303,21.3908,-0.606325,0.864303,3.14159,0
0.882827,21.3752,-0.601894,0.882827,3.14159,0
0.900858,21.3598,-0.597292,0.900858,3.14159,0
0.91842,21.3445,-0.592523,0.91842,3.14159,0
0.93555,21.3294,-0.58759,0.93555,3.14159,0
0.952274,21.3145,-0.582495,0.952274,3.14159,0
0.968619,21.2997,-0.577243,0.968619,3.14159,0
0.984609,21.2851,-0.571836,0.984609,3.14159,0
1.00026,21.2706,-0.566277,1.00026,3.14159,0
1.01572,21.2562,-0.56057,1,3.14159,0
1.0311,21.242,-0.554718,1,3.14159,0
1.04642,21.2279,-0.548723,1,3.14159,0
1.06167,21.2139,-0.542589,1,3.14159,0
1.07686,21.2001,-0.53632,1,3.14159,0
1.092,21.1863,-0.529918,1,3.14159,0
1.10707,21.1728,-0.523386,1,3.14159,0
1.1221,21.1593,-0.516728,1,3.14159,0
1.13707,21.1459,-0.509947,1,3.14159,0
1.15201,21.1327,-0.503046,1,3.14159,0
1.1669,21.1196,-0.496028,1,3.14159,0
1.18175,21.1065,-0.488896,1,3.14159,0
1.19656,21.0936,-0.481654,1,3.14159,0
1.21133,21.0808,-0.474305,1,3.14159,0
1.22608,21.0681,-0.466851,1,3.14159,0
1.24079,21.0555,-0.459296,1,3.14159,0
1.25548,21.0429,-0.451643,1,3.14159,0
1.27014,21.0305,-0.443895,1,3.14159,0
1.28477,21.0181,-0.436056,1,3.14159,0
1.29939,21.0058,-0.428128,1,3.14159,0
1.31398,20.9936,-0.420115,1,3.14159,0
1.32855,20.9815,-0.41202,1,3.14159,0
1.34311,20.9695,-0.403846,1,3.14159,0
1.35765,20.9575,-0.395596,1,3.14159,0
1.37217,20.9456,-0.387274,1,3.14159,0
1.38669,20.9338,-0.378882,1,3.14159,0
1.40119,20.922,-0.370423,1,3.14159,0
1.41567,20.9103,-0.361902,1,3.14159,0
1.43015,20.8986,-0.35332,1,3.14159,0
1.44462,20.887,-0.344682,1,3.14159,0
1.45908,20.8754,-0.33599,1,3.14159,0
1.47353,20.8639,-0.327247,1,3.14159,0
1.48798,20.8525,-0.318457,1,3.14159,0
1.50242,20.8411,-0.309623,1,3.14159,0
1.51685,20.8297,-0.300748,1,3.14159,0
1.53128,20.8183,-0.291835,1,3.14159,0
1.5457,20.807,-0.282887,1,3.14159,0
1.56013,20.7957,-0.273907,1,3.14159,0
1.57455,20.7845,-0.264899,1,3.14159,0
1.58896,20.7732,-0.255866,1,3.14159,0
1.60338,20.762,-0.246811,1,3.14159,0
1.61779,20.7508,-0.237736,1,3.14159,0
1.6322,20.7396,-0.228646,1,3.14159,0
1.64661,20.7285,-0.219544,1,3.14159,0
1.66102,20.7173,-0.210431,1,3.14159,0
1.67543,20.7062,-0.201313,1,3.14159,0
1.68983,20.695,-0.192191,1,3.14159,0
1.70424,20.6838,-0.18307,1,3.14159,0
1.71865,20.6727,-0.173951,1,3.14159,0
1.73305,20.6615,-0.164839,1,3.14159,0
1.74746,20.6504,-0.155736,1,3.14159,0
1.76187,20.6392,-0.146646,1,3.14159,0
1.77629,20.628,-0.137572,1,3.14159,0
1.7907,20.6168,-0.128517,1,3.14159,0
1.80511,20.6055,-0.119484,1,3.14159,0
1.81953,20.5943,-0.110476,1,3.14159,0
1.83396,20.583,-0.101496,1,3.14159,0
1.84838,20.5717,-0.0925481,1,3.14159,0
1.86281,20.5603,-0.083635,1,3.14159,0
1.87725,20.5489,-0.0747597,1,3.14159,0
1.89169,20.5375,-0.0659254,1,3.14159,0
1.90613,20.5261,-0.0571355,1,3.14159,0
1.92059,20.5145,-0.0483928,1,3.14159,0
1.93505,20.503,-0.0397008,1,3.14159,0
1.94951,20.4914,-0.0310623,1,3.14159,0
1.96399,20.4797,-0.0224809,1,3.14159,0
1.97848,20.468,-0.0139594,1,3.14159,0
1.99298,20.4562,-0.00550099,1,3.14159,0
2.00749,20.4444,0.00289097,1,3.14159,0
2.02201,20.4325,0.0112135,1,3.14159,0
2.03655,20.4205,0.0194634,1,3.14159,0
2.05111,20.4085,0.0276375,1,3.14159,0
2.06568,20.3964,0.0357325,1,3.14159,0
2.08027,20.3842,0.0437455,1,3.14159,0
2.09489,20.3719,0.0516732,1,3.14159,0
2.10952,20.3595,0.0595124,1,3.14159,0
2.12418,20.3471,0.0672601,1,3.14159,0
2.13887,20.3345,0.074913,1,3.14159,0
2.15358,20.3219,0.0824679,1,3.14159,0
2.16833,20.3092,0.0899218,1,3.14159,0
2.1831,20.2964,0.0972715,1,3.14159,0
2.19792,20.2835,0.104514,1,3.14159,0
2.21276,20.2704,0.111645,1,3.14159,0
2.22765,20.2573,0.118663,1,3.14159,0
2.24259,20.2441,0.125565,1,3.14159,0
2.25756,20.2307,0.132346,1,3.14159,0
2.27259,20.2172,0.139004,1,3.14159,0
2.28767,20.2036,0.145535,1,3.14159,0
2.3028,20.1899,0.151937,1,3.14159,0
2.31799,20.1761,0.158207,1,3.14159,0
2.33324,20.1621,0.16434,1,3.14159,0
2.34856,20.148,0.170335,1,3.14159,0
2.36394,20.1338,0.176187,1,3.14159,0
2.3794,20.1194,0.181894,1,3.14159,0
2.39494,20.1049,0.187453,1,3.14159,0
2.41055,20.0903,0.19286,1,3.14159,0
2.42625,20.0755,0.198113,1,3.14159,0
2.44203,20.0606,0.203207,1,3.14159,0
2.45791,20.0455,0.20814,1,3.14159,0
2.47389,20.0302,0.212909,1,3.14159,0
2.48997,20.0148,0.217511,1,3.14159,0
2.50616,19.9992,0.221942,1,3.14159,0
2.52245,19.9835,0.226199,1,3.14159,0
2.53886,19.9676,0.23028,1,3.14159,0
2.55539,19.9516,0.23418,1,3.14159,0
2.57206,19.9353,0.237898,1,3.14159,0
2.58884,19.9189,0.241428,1,3.14159,0
2.60577,19.9023,0.24477,1,3.14159,0
2.62283,19.8855,0.247918,1,3.14159,0
2.64005,19.8686,0.250871,1,3.14159,0
2.65741,19.8514,0.253625,1,3.14159,0
2.67493,19.8341,0.256177,1,3.14159,0
2.69262,19.8166,0.258523,1,3.14159,0
2.71047,19.7988,0.260661,1,3.14159,0
2.7285,19.7809,0.262587,1,3.14159,0
2.74671,19.7628,0.264299,1,3.14159,0
2.7651,19.7445,0.265792,1,3.14159,0
2.78368,19.7259,0.267065,1,3.14159,0
2.80246,19.7072,0.268113,1,3.14159,0
2.82144,19.6882,0.268934,1,3.14159,0
2.84063,19.669,0.269524,1,3.14159,0
2.86004,19.6496,0.26988,1,3.14159,0
2.87966,19.63,0.27,1,3.14159,0
2.89467,19.615,0.270008,1,3.14159,0
2.9097,19.6,0.27003,1,3.14159,0
2.92475,19.5849,0.270067,1,3.14159,0
2.93982,19.5698,0.270119,1,3.14159,0
2.9549,19.5548,0.270185,1,3.14159,0
2.97001,19.5397,0.270265,1,3.14159,0
2.98513,19.5245,0.270359,1,3.14159,0
3.00027,19.5094,0.270467,1,3.14159,0
3.01543,19.4942,0.27059,1,3.14159,0
3.03061,19.4791,0.270725,1,3.14159,0
3.0458,19.4639,0.270875,1,3.14159,0
3.06101,19.4487,0.271037,1,3.14159,0
3.07624,19.4334,0.271213,1,3.14159,0
3.09149,19.4182,0.271402,1,3.14159,0
3.10675,19.4029,0.271604,1,3.14159,0
3.12204,19.3876,0.271818,1,3.14159,0
3.13733,19.3723,0.272045,1,3.14159,0
3.15265,19.357,0.272285,1,3.14159,0
3.16798,19.3417,0.272537,1,3.14159,0
3.18332,19.3264,0.272801,1,3.14159,0
3.19868,19.311,0.273077,1,3.14159,0
3.21406,19.2956,0.273364,1,3.14159,0
3.22945,19.2802,0.273664,1,3.14159,0
3.24486,19.2648,0.273975,1,3.14159,0
3.26028,19.2494,0.274298,1,3.14159,0
3.27572,19.234,0.274631,1,3.14159,0
3.29117,19.2185,0.274976,1,3.14159,0
3.30664,19.2031,0.275332,1,3.14159,0
3.32212,19.1876,0.275699,1,3.14159,0
3.33761,19.1721,0.276076,1,3.14159,0
3.35312,19.1566,0.276463,1,3.14159,0
3.36864,19.1411,0.276862,1,3.14159,0
3.38418,19.1255,0.27727,1,3.14159,0
3.39973,19.11,0.277688,1,3.14159,0
3.41529,19.0944,0.278116,1,3.14159,0
3.43087,19.0789,0.278554,1,3.14159,0
3.44645,19.0633,0.279002,1,3.14159,0
3.46206,19.0477,0.279459,1,3.14159,0
3.47767,19.0321,0.279925,1,3.14159,0
3.49329,19.0165,0.280401,1,3.14159,0
3.50893,19.0008,0.280885,1,3.14159,0
3.52458,18.9852,0.281379,1,3.14159,0
3.54024,18.9696,0.281881,1,3.14159,0
3.55592,18.9539,0.282391,1,3.14159,0
3.5716,18.9382,0.28291,1,3.14159,0
3.58729,18.9225,0.283437,1,3.14159,0
3.603,18.9068,0.283973,1,3.14159,0
3.61871,18.8911,0.284516,1,3.14159,0
3.63444,18.8754,0.285067,1,3.14159,0
3.65018,18.8597,0.285626,1,3.14159,0
3.66592,18.844,0.286192,1,3.14159,0
3.68168,18.8282,0.286766,1,3.14159,0
3.69744,18.8125,0.287346,1,3.14159,0
3.71322,18.7967,0.287934,1,3.14159,0
3.729,18.7809,0.288529,1,3.14159,0
3.7448,18.7651,0.28913,1,3.14159,0
3.7606,18.7493,0.289738,1,3.14159,0
3.77641,18.7335,0.290353,1,3.14159,0
3.79222,18.7177,0.290974,1,3.14159,0
3.80806,18.7019,0.291601,1,3.14159,0
3.82389,18.6861,0.292234,1,3.14159,0
3.83973,18.6703,0.292872,1,3.14159,0
3.85558,18.6544,0.293517,1,3.14159,0
3.87144,18.6386,0.294167,1,3.14159,0
3.88731,18.6227,0.294823,1,3.14159,0
3.90318,18.6069,0.295483,1,3.14159,0
3.91906,18.591,0.296149,1,3.14159,0
3.93495,18.5751,0.29682,1,3.14159,0
3.95084,18.5593,0.297495,1,3.14159,0
