time,x_pos,y_pos,velocity,rotation
0,0,0,0,0
0.046709,0.00327259,-1.95101e-12,0.140127,1.5708
0.0673611,0.00680627,-7.76295e-12,0.202083,1.5708
0.0840594,0.010599,-1.73742e-11,0.252178,1.5708
0.0988218,0.0146486,-3.07232e-11,0.296465,1.5708
0.112407,0.0189531,-4.77483e-11,0.337222,1.5708
0.125194,0.0235105,-6.83879e-11,0.375583,1.5708
0.137401,0.0283186,-9.25804e-11,0.412203,1.5708
0.149165,0.0333754,-1.20264e-10,0.447495,1.5708
0.16058,0.0386788,-1.51378e-10,0.481739,1.5708
0.17171,0.0442267,-1.85859e-10,0.515131,1.5708
0.182606,0.0500171,-2.23647e-10,0.547817,1.5708
0.193301,0.056048,-2.6468e-10,0.579903,1.5708
0.203825,0.0623172,-3.08896e-10,0.611476,1.5708
0.2142,0.0688227,-3.56233e-10,0.642601,1.5708
0.224444,0.0755624,-4.06631e-10,0.673331,1.5708
0.234569,0.0825343,-4.60027e-10,0.703708,1.5708
0.24459,0.0897362,-5.1636e-10,0.733769,1.5708
0.254514,0.0971661,-5.75568e-10,0.763542,1.5708
0.264351,0.104822,-6.37589e-10,0.793052,1.5708
0.274107,0.112702,-7.02363e-10,0.822321,1.5708
0.283788,0.120803,-7.69826e-10,0.851364,1.5708
0.293399,0.129125,-8.39919e-10,0.880198,1.5708
0.302945,0.137664,-9.12578e-10,0.908836,1.5708
0.31243,0.146419,-9.87743e-10,0.937289,1.5708
0.321856,0.155387,-1.06535e-09,0.965567,1.5708
0.331226,0.164566,-1.14534e-09,0.993679,1.5708
0.340544,0.173956,-1.22766e-09,1.02163,1.5708
0.349811,0.183552,-1.31223e-09,1.04943,1.5708
0.35903,0.193354,-1.399e-09,1.07709,1.5708
0.368202,0.203359,-1.4879e-09,1.10461,1.5708
0.377328,0.213565,-1.57888e-09,1.13198,1.5708
0.386411,0.22397,-1.67187e-09,1.15923,1.5708
0.395451,0.234572,-1.76681e-09,1.18635,1.5708
0.40445,0.24537,-1.86364e-09,1.21335,1.5708
0.413408,0.25636,-1.9623e-09,1.24022,1.5708
0.422327,0.267541,-2.06273e-09,1.26698,1.5708
0.431208,0.27891,-2.16486e-09,1.29362,1.5708
0.44005,0.290467,-2.26863e-09,1.32015,1.5708
0.448856,0.302207,-2.37399e-09,1.34657,1.5708
0.457625,0.314131,-2.48086e-09,1.37287,1.5708
0.466358,0.326235,-2.58919e-09,1.39907,1.5708
0.475056,0.338517,-2.69892e-09,1.42517,1.5708
0.483719,0.350976,-2.80998e-09,1.45116,1.5708
0.492348,0.363609,-2.92232e-09,1.47704,1.5708
0.500942,0.376414,-3.03587e-09,1.50283,1.5708
0.509503,0.38939,-3.15057e-09,1.52851,1.5708
0.51803,0.402533,-3.26636e-09,1.55409,1.5708
0.526525,0.415843,-3.38317e-09,1.57957,1.5708
0.534987,0.429316,-3.50095e-09,1.60496,1.5708
0.543416,0.442952,-3.61963e-09,1.63025,1.5708
0.551813,0.456747,-3.73916e-09,1.65544,1.5708
0.560178,0.4707,-3.85946e-09,1.68053,1.5708
0.568512,0.484808,-3.98049e-09,1.70553,1.5708
0.576813,0.499071,-4.10217e-09,1.73044,1.5708
0.585084,0.513484,-4.22444e-09,1.75525,1.5708
0.593323,0.528048,-4.34725e-09,1.77997,1.5708
0.60153,0.542758,-4.47054e-09,1.80459,1.5708
0.609707,0.557614,-4.59423e-09,1.82912,1.5708
0.617853,0.572614,-4.71827e-09,1.85356,1.5708
0.625968,0.587754,-4.8426e-09,1.8779,1.5708
0.634053,0.603034,-4.96716e-09,1.90216,1.5708
0.642106,0.618451,-5.09188e-09,1.92632,1.5708
0.650129,0.634003,-5.2167e-09,1.95039,1.5708
0.658122,0.649687,-5.34157e-09,1.97437,1.5708
0.666085,0.665503,-5.46641e-09,1.99825,1.5708
0.674016,0.681448,-5.59118e-09,2.02205,1.5708
0.682052,0.697519,-5.71579e-09,2,1.5708
0.69015,0.713715,-5.84021e-09,2,1.5708
0.698309,0.730033,-5.96435e-09,2,1.5708
0.706529,0.746472,-6.08817e-09,2,1.5708
0.714808,0.76303,-6.2116e-09,2,1.5708
0.723145,0.779704,-6.33457e-09,2,1.5708
0.731539,0.796492,-6.45703e-09,2,1.5708
0.739989,0.813393,-6.57892e-09,2,1.5708
0.748495,0.830404,-6.70017e-09,2,1.5708
0.757054,0.847523,-6.82072e-09,2,1.5708
0.765667,0.864748,-6.94051e-09,2,1.5708
0.774331,0.882077,-7.05948e-09,2,1.5708
0.783047,0.899508,-7.17757e-09,2,1.5708
