time,x_pos,y_pos,velocity,rotation
0,0,0,0,0
0.0333737,0.00167071,-4.88759e-11,0.100121,0
0.0486413,0.00354896,-1.94992e-10,0.145924,0
0.0612846,0.0056337,-4.3758e-10,0.183854,0
0.0726814,0.00792388,-7.75874e-10,0.218044,0
0.0833404,0.0104184,-1.2091e-09,0.250021,0
0.0935104,0.0131163,-1.7365e-09,0.280531,0
0.103333,0.0160164,-2.3573e-09,0.309998,0
0.112895,0.0191178,-3.07074e-09,0.338684,0
0.122254,0.0224192,-3.87604e-09,0.366764,0
0.131453,0.0259198,-4.77244e-09,0.394359,0
0.140519,0.0296184,-5.75917e-09,0.421557,0
0.149475,0.033514,-6.83547e-09,0.448424,0
0.158336,0.0376055,-8.00056e-09,0.475008,0
0.167116,0.0418918,-9.25367e-09,0.501349,0
0.175826,0.046372,-1.05941e-08,0.527477,0
0.184472,0.0510449,-1.20209e-08,0.553416,0
0.193062,0.0559095,-1.35335e-08,0.579186,0
0.201601,0.0609647,-1.51311e-08,0.604804,0
0.210094,0.0662095,-1.68128e-08,0.630283,0
0.218545,0.0716428,-1.8578e-08,0.655635,0
0.226956,0.0772636,-2.04258e-08,0.680868,0
0.235331,0.0830708,-2.23555e-08,0.705992,0
0.243671,0.0890633,-2.43663e-08,0.731013,0
0.251979,0.0952401,-2.64575e-08,0.755937,0
0.260256,0.1016,-2.86283e-08,0.780769,0
0.268505,0.108142,-3.08778e-08,0.805515,0
0.276726,0.114866,-3.32054e-08,0.830177,0
0.28492,0.121769,-3.56103e-08,0.85476,0
0.293089,0.128851,-3.80918e-08,0.879266,0
0.301233,0.136112,-4.06489e-08,0.903698,0
0.309353,0.143549,-4.32811e-08,0.928059,0
0.31745,0.151162,-4.59874e-08,0.952351,0
0.325525,0.15895,-4.87672e-08,0.976575,0
0.333578,0.166911,-5.16197e-08,1.00073,0
0.341609,0.175045,-5.4544e-08,1.02483,0
0.34962,0.183351,-5.75395e-08,1.04886,0
0.35761,0.191828,-6.06054e-08,1.07283,0
0.36558,0.200473,-6.37409e-08,1.09674,0
0.37353,0.209288,-6.69452e-08,1.12059,0
0.381461,0.218269,-7.02176e-08,1.14438,0
0.389373,0.227417,-7.35573e-08,1.16812,0
0.397266,0.23673,-7.69635e-08,1.1918,0
0.40514,0.246208,-8.04355e-08,1.21542,0
0.412996,0.255848,-8.39725e-08,1.23899,0
0.420833,0.265651,-8.75737e-08,1.2625,0
0.428652,0.275614,-9.12383e-08,1.28596,0
0.436454,0.285738,-9.49657e-08,1.30936,0
0.444237,0.296021,-9.8755e-08,1.33271,0
0.452004,0.306461,-1.02605e-07,1.35601,0
0.459752,0.317058,-1.06516e-07,1.37926,0
0.467483,0.327811,-1.10487e-07,1.40245,0
0.475197,0.338719,-1.14516e-07,1.42559,0
0.482894,0.34978,-1.18603e-07,1.44868,0
0.490573,0.360994,-1.22748e-07,1.47172,0
0.498236,0.372359,-1.2695e-07,1.49471,0
0.505882,0.383875,-1.31207e-07,1.51765,0
0.51351,0.39554,-1.35519e-07,1.54053,0
0.521122,0.407353,-1.39885e-07,1.56337,0
0.528718,0.419314,-1.44305e-07,1.58615,0
0.536296,0.431421,-1.48777e-07,1.60889,0
0.543858,0.443673,-1.53302e-07,1.63158,0
0.551404,0.456069,-1.57877e-07,1.65421,0
0.558933,0.468609,-1.62504e-07,1.6768,0
0.566445,0.48129,-1.67179e-07,1.69934,0
0.573941,0.494112,-1.71904e-07,1.72182,0
0.58142,0.507074,-1.76677e-07,1.74426,0
0.588883,0.520175,-1.81497e-07,1.76665,0
0.59633,0.533414,-1.86363e-07,1.78899,0
0.60376,0.54679,-1.91276e-07,1.81128,0
0.611174,0.560301,-1.96233e-07,1.83352,0
0.618572,0.573946,-2.01235e-07,1.85571,0
0.625953,0.587726,-2.0628e-07,1.87786,0
0.633318,0.601637,-2.11368e-07,1.89995,0
0.640666,0.61568,-2.16498e-07,1.922,0
0.647999,0.629854,-2.21669e-07,1.944,0
0.655315,0.644157,-2.26881e-07,1.96595,0
0.662615,0.658588,-2.32132e-07,1.98784,0
0.669898,0.673146,-2.37422e-07,2.0097,0
0.677166,0.68783,-2.4275e-07,2.0315,0
0.684417,0.70264,-2.48116e-07,2.05325,0
0.691652,0.717573,-2.53518e-07,2.07496,0
0.69887,0.73263,-2.58956e-07,2.09661,0
0.706073,0.747808,-2.64429e-07,2.11822,0
0.713259,0.763107,-2.69936e-07,2.13978,0
0.720429,0.778526,-2.75477e-07,2.16129,0
0.727582,0.794064,-2.81051e-07,2.18275,0
0.73472,0.80972,-2.86657e-07,2.20416,0
0.741841,0.825491,-2.92293e-07,2.22552,0
0.748945,0.841379,-2.97961e-07,2.24684,0
0.756034,0.857381,-3.03658e-07,2.2681,0
0.763106,0.873497,-3.09384e-07,2.28932,0
0.770162,0.889725,-3.15138e-07,2.31049,0
0.777202,0.906064,-3.20919e-07,2.33161,0
0.784225,0.922514,-3.26727e-07,2.35268,0
0.791232,0.939072,-3.32561e-07,2.3737,0
0.798223,0.955739,-3.3842e-07,2.39467,0
0.805197,0.972513,-3.44303e-07,2.41559,0
0.812155,0.989393,-3.5021e-07,2.43646,0
0.819096,1.00638,-3.5614e-07,2.45729,0
0.826021,1.02347,-3.62091e-07,2.47807,0
0.83293,1.04066,-3.68064e-07,2.49879,0
0.839822,1.05795,-3.74058e-07,2.51947,0
0.846698,1.07535,-3.80071e-07,2.5401,0
0.853558,1.09284,-3.86103e-07,2.56067,0
0.860401,1.11043,-3.92153e-07,2.5812,0
0.867227,1.12813,-3.9822e-07,2.60168,0
0.874037,1.14591,-4.04304e-07,2.62211,0
0.880831,1.16379,-4.10404e-07,2.64249,0
0.887608,1.18177,-4.1652e-07,2.66282,0
0.894368,1.19984,-4.22649e-07,2.6831,0
0.901112,1.218,-4.28792e-07,2.70334,0
0.907839,1.23626,-4.34948e-07,2.72352,0
0.91455,1.2546,-4.41116e-07,2.74365,0
0.921243,1.27303,-4.47295e-07,2.76373,0
0.927921,1.29156,-4.53484e-07,2.78376,0
0.934581,1.31016,-4.59684e-07,2.80375,0
0.941225,1.32886,-4.65892e-07,2.82368,0
0.947853,1.34764,-4.72108e-07,2.84356,0
0.954463,1.3665,-4.78332e-07,2.86339,0
0.961057,1.38545,-4.84563e-07,2.88317,0
0.967634,1.40447,-4.90799e-07,2.9029,0
0.974194,1.42358,-4.97041e-07,2.92258,0
0.980737,1.44277,-5.03287e-07,2.94221,0
0.987264,1.46204,-5.09536e-07,2.96179,0
0.993773,1.48138,-5.15788e-07,2.98132,0
1.00027,1.5008,-5.22043e-07,3.0008,0
1.00674,1.52029,-5.28298e-07,3.02023,0
1.0132,1.53986,-5.34554e-07,3.0396,0
1.01964,1.55951,-5.4081e-07,3.05893,0
1.02607,1.57922,-5.47065e-07,3.0782,0
1.03248,1.59901,-5.53318e-07,3.09743,0
1.03887,1.61887,-5.59569e-07,3.1166,0
1.04524,1.63879,-5.65816e-07,3.13572,0
1.0516,1.65879,-5.72059e-07,3.15479,0
1.05794,1.67885,-5.78297e-07,3.17381,0
1.06426,1.69897,-5.8453e-07,3.19278,0
1.07056,1.71916,-5.90756e-07,3.2117,0
1.07685,1.73942,-5.96975e-07,3.23056,0
1.08312,1.75974,-6.03186e-07,3.24937,0
1.08938,1.78012,-6.09388e-07,3.26813,0
1.09561,1.80056,-6.15581e-07,3.28684,0
1.10183,1.82106,-6.21764e-07,3.3055,0
1.10804,1.84161,-6.27936e-07,3.32411,0
1.11422,1.86223,-6.34095e-07,3.34266,0
1.12039,1.8829,-6.40243e-07,3.36116,0
1.12654,1.90363,-6.46377e-07,3.37961,0
1.13267,1.92441,-6.52497e-07,3.39801,0
1.13878,1.94524,-6.58602e-07,3.41635,0
1.14488,1.96613,-6.64692e-07,3.43464,0
1.15096,1.98707,-6.70765e-07,3.45288,0
1.15702,2.00806,-6.76821e-07,3.47107,0
1.16307,2.02909,-6.82859e-07,3.48921,0
1.1691,2.05018,-6.88878e-07,3.50729,0
1.1751,2.07131,-6.94878e-07,3.52532,0
1.1811,2.09249,-7.00858e-07,3.54329,0
1.18707,2.11371,-7.06817e-07,3.56121,0
1.19303,2.13497,-7.12754e-07,3.57908,0
1.19897,2.15628,-7.18668e-07,3.5969,0
1.20489,2.17763,-7.2456e-07,3.61466,0
1.21079,2.19902,-7.30427e-07,3.63237,0
1.21668,2.22045,-7.36269e-07,3.65003,0
1.22254,2.24192,-7.42086e-07,3.66763,0
1.22839,2.26342,-7.47876e-07,3.68518,0
1.23422,2.28497,-7.53639e-07,3.70267,0
1.24004,2.30654,-7.59375e-07,3.72012,0
1.24583,2.32815,-7.65081e-07,3.7375,0
1.25161,2.3498,-7.70759e-07,3.75484,0
1.25737,2.37147,-7.76406e-07,3.77211,0
1.26311,2.39318,-7.82022e-07,3.78934,0
1.26884,2.41492,-7.87606e-07,3.80651,0
1.27454,2.43668,-7.93158e-07,3.82362,0
1.28023,2.45848,-7.98677e-07,3.84069,0
1.2859,2.4803,-8.04162e-07,3.85769,0
1.29155,2.50214,-8.09611e-07,3.87464,0
1.29718,2.52402,-8.15026e-07,3.89154,0
1.30279,2.54591,-8.20403e-07,3.90838,0
1.30839,2.56783,-8.25744e-07,3.92517,0
1.31397,2.58977,-8.31047e-07,3.9419,0
1.31953,2.61172,-8.36311e-07,3.95858,0
1.32507,2.6337,-8.41536e-07,3.9752,0
1.33059,2.6557,-8.46721e-07,3.99176,0
1.33609,2.67771,-8.51865e-07,4.00828,0
1.3416,2.69974,-8.56967e-07,4,0
1.34711,2.72179,-8.62026e-07,4,0
1.35262,2.74385,-8.67043e-07,4,0
1.35814,2.76592,-8.72015e-07,4,0
1.36366,2.788,-8.76942e-07,4,0
1.36919,2.8101,-8.81824e-07,4,0
1.37471,2.8322,-8.8666e-07,4,0
1.38024,2.85432,-8.91449e-07,4,0
1.38577,2.87644,-8.96189e-07,4,0
1.3913,2.89856,-9.00881e-07,4,0
1.39684,2.9207,-9.05524e-07,4,0
1.40237,2.94284,-9.10117e-07,4,0
1.40791,2.96498,-9.14658e-07,4,0
1.41344,2.98712,-9.19148e-07,4,0
1.41898,3.00927,-9.23586e-07,4,0
1.42452,3.03141,-9.2797e-07,4,0
1.43005,3.05356,-9.323e-07,4,0
1.43559,3.0757,-9.36576e-07,4,0
1.44112,3.09784,-9.40796e-07,4,0
1.44666,3.11998,-9.44959e-07,4,0
1.45219,3.14211,-9.49066e-07,4,0
1.45772,3.16423,-9.53115e-07,4,0
1.46325,3.18635,-9.57105e-07,4,0
1.46878,3.20846,-9.61036e-07,4,0
1.4743,3.23056,-9.64906e-07,4,0
1.47983,3.25265,-9.68716e-07,4,0
1.48535,3.27473,-9.72464e-07,4,0
1.49086,3.2968,-9.7615e-07,4,0
1.49638,3.31885,-9.79772e-07,4,0
1.5019,3.34089,-9.83331e-07,3.98344,0
1.50744,3.36292,-9.86824e-07,3.96682,0
1.513,3.38492,-9.90253e-07,3.95014,0
1.51858,3.40691,-9.93615e-07,3.9334,0
1.52417,3.42888,-9.9691e-07,3.91661,0
1.52979,3.45083,-1.00014e-06,3.89976,0
1.53543,3.47277,-1.0033e-06,3.88285,0
1.54108,3.49467,-1.00638e-06,3.86589,0
1.54675,3.51656,-1.0094e-06,3.84887,0
1.55245,3.53842,-1.01235e-06,3.83179,0
1.55816,3.56026,-1.01523e-06,3.81465,0
1.56389,3.58207,-1.01803e-06,3.79746,0
1.56964,3.60385,-1.02076e-06,3.78022,0
1.57541,3.6256,-1.02342e-06,3.76291,0
1.58119,3.64733,-1.026e-06,3.74555,0
1.587,3.66902,-1.02851e-06,3.72813,0
1.59282,3.69069,-1.03094e-06,3.71066,0
1.59867,3.71232,-1.03329e-06,3.69313,0
1.60453,3.73392,-1.03557e-06,3.67554,0
1.61041,3.75548,-1.03777e-06,3.6579,0
1.61631,3.77701,-1.03988e-06,3.6402,0
1.62223,3.7985,-1.04192e-06,3.62245,0
1.62816,3.81995,-1.04388e-06,3.60464,0
1.63412,3.84137,-1.04575e-06,3.58677,0
1.64009,3.86274,-1.04755e-06,3.56885,0
1.64609,3.88407,-1.04926e-06,3.55087,0
1.6521,3.90536,-1.05088e-06,3.53284,0
1.65813,3.92661,-1.05242e-06,3.51475,0
1.66418,3.94782,-1.05388e-06,3.4966,0
1.67024,3.96898,-1.05525e-06,3.4784,0
1.67633,3.99009,-1.05653e-06,3.46014,0
1.68243,4.01116,-1.05772e-06,3.44183,0
1.68856,4.03217,-1.05883e-06,3.42346,0
1.6947,4.05314,-1.05985e-06,3.40504,0
1.70086,4.07406,-1.06077e-06,3.38656,0
1.70704,4.09493,-1.06161e-06,3.36802,0
1.71323,4.11574,-1.06235e-06,3.34943,0
1.71945,4.1365,-1.063e-06,3.33078,0
1.72568,4.1572,-1.06356e-06,3.31208,0
1.73193,4.17785,-1.06403e-06,3.29333,0
1.7382,4.19845,-1.0644e-06,3.27451,0
1.74449,4.21898,-1.06467e-06,3.25565,0
1.7508,4.23946,-1.06485e-06,3.23672,0
1.75713,4.25987,-1.06493e-06,3.21774,0
1.76347,4.28023,-1.06492e-06,3.19871,0
1.76984,4.30052,-1.0648e-06,3.17962,0
1.77622,4.32075,-1.06459e-06,3.16048,0
1.78262,4.34092,-1.06427e-06,3.14127,0
1.78904,4.36102,-1.06386e-06,3.12202,0
1.79547,4.38105,-1.06334e-06,3.10271,0
1.80193,4.40102,-1.06272e-06,3.08334,0
1.8084,4.42092,-1.062e-06,3.06392,0
1.8149,4.44075,-1.06117e-06,3.04444,0
1.82141,4.46051,-1.06024e-06,3.02491,0
1.82794,4.48019,-1.05921e-06,3.00532,0
1.83448,4.49981,-1.05806e-06,2.98568,0
1.84105,4.51935,-1.05682e-06,2.96598,0
1.84764,4.53882,-1.05546e-06,2.94622,0
1.85424,4.55821,-1.05399e-06,2.92641,0
1.86086,4.57752,-1.05242e-06,2.90655,0
1.8675,4.59676,-1.05073e-06,2.88662,0
1.87416,4.61591,-1.04894e-06,2.86664,0
1.88084,4.63499,-1.04703e-06,2.84661,0
1.88754,4.65398,-1.04501e-06,2.82652,0
1.89425,4.6729,-1.04288e-06,2.80638,0
1.90099,4.69173,-1.04063e-06,2.78617,0
1.90774,4.71047,-1.03827e-06,2.76592,0
1.91451,4.72913,-1.03579e-06,2.7456,0
1.9213,4.74771,-1.0332e-06,2.72523,0
1.92811,4.76619,-1.03049e-06,2.7048,0
1.93494,4.78459,-1.02766e-06,2.68432,0
1.94178,4.8029,-1.02472e-06,2.66378,0
1.94865,4.82112,-1.02165e-06,2.64318,0
1.95553,4.83924,-1.01847e-06,2.62253,0
1.96244,4.85728,-1.01516e-06,2.60182,0
1.96936,4.87522,-1.01174e-06,2.58105,0
1.9763,4.89306,-1.00819e-06,2.56022,0
1.98326,4.91081,-1.00451e-06,2.53934,0
1.99024,4.92846,-1.00072e-06,2.5184,0
1.99724,4.94602,-9.96794e-07,2.4974,0
2.00426,4.96347,-9.92748e-07,2.47634,0
2.0113,4.98083,-9.88575e-07,2.45523,0
2.01836,4.99808,-9.84275e-07,2.43406,0
2.02544,5.01523,-9.79848e-07,2.41282,0
2.03253,5.03228,-9.75292e-07,2.39153,0
2.03965,5.04922,-9.70606e-07,2.37018,0
2.04679,5.06606,-9.65791e-07,2.34877,0
2.05394,5.0828,-9.60845e-07,2.32731,0
2.06112,5.09942,-9.55768e-07,2.30578,0
2.06831,5.11594,-9.50558e-07,2.28419,0
2.07553,5.13234,-9.45215e-07,2.26254,0
2.08277,5.14864,-9.39739e-07,2.24082,0
2.09003,5.16482,-9.34127e-07,2.21905,0
2.0973,5.18089,-9.28381e-07,2.19722,0
2.1046,5.19685,-9.22498e-07,2.17532,0
2.11192,5.21269,-9.16478e-07,2.15336,0
2.11926,5.22842,-9.10321e-07,2.13134,0
2.12662,5.24403,-9.04025e-07,2.10926,0
2.13401,5.25952,-8.9759e-07,2.08711,0
