time,x_pos,y_pos,velocity,rotation,action
0.014327,-0.000566966,-0.00311699,0,-0.0343287,0
0.034984,-0.000566966,-0.00311699,0,-0.0343415,0
0.053773,-0.000566966,-0.00311699,0,-0.0343356,0
0.073851,-0.000566966,-0.00311699,0,-0.0343358,0
0.093727,-0.000566966,-0.00311699,0,-0.0343478,0
0.114257,-0.000566966,-0.00311699,0,-0.0343506,0
0.134086,-0.000566966,-0.00311699,0,-0.034348,0
0.154743,-0.000566966,-0.00311699,0,-0.0343572,0
0.173735,-0.000566966,-0.00311699,0,-0.0343551,0
0.193935,-0.000566966,-0.00311699,0,-0.0343521,0
0.214,-0.000566966,-0.00311699,0,-0.0343463,0
0.234273,-0.000566966,-0.00311699,0,-0.0343493,0
0.253699,-0.000566966,-0.00311699,0,-0.0343526,0
0.273755,-0.000566966,-0.00311699,0,-0.0343551,0
0.294505,-0.000566966,-0.00311699,0,-0.0343486,0
0.314574,-0.000566966,-0.00311699,0,-0.0340861,0
0.334435,-0.000598453,-0.00308615,0.00221913,-0.032597,0
0.35418,-0.000642844,-0.00293807,0.00782971,-0.0287117,0
0.374564,-0.000720489,-0.00272683,0.0110409,-0.0257087,0
0.394745,-0.000791389,-0.00205102,0.0336712,-0.0241578,0
0.414401,-0.000820327,-0.000999282,0.0535274,-0.0243116,0
0.434264,-0.000844322,0.000453904,0.0731704,-0.0249423,0
0.454261,-0.000852107,0.00299459,0.127054,-0.0261602,0
0.474796,-0.000850541,0.0059144,0.142187,-0.0262349,0
0.494819,-0.000827937,0.00978516,0.193319,-0.0267537,0
0.514302,-0.000782477,0.01452,0.243036,-0.0268024,0
0.533963,-0.000728787,0.020097,0.28367,-0.0270281,0
0.553999,-0.000660085,0.0276581,0.377389,-0.0269864,0
0.574039,-0.000569092,0.0362176,0.427146,-0.0275417,0
0.59395,-0.000495656,0.0458391,0.483241,-0.0276614,0
0.614663,-0.000398364,0.0578425,0.579528,-0.0277058,0
0.633786,-0.000289996,0.069843,0.627567,-0.0275652,0
0.654624,-0.000186293,0.0835639,0.658476,-0.0277371,0
0.674839,-5.65801e-05,0.098699,0.748735,-0.0279659,0
0.694542,7.27419e-05,0.113212,0.736616,-0.0280158,0
0.714559,0.000205792,0.129231,0.800287,-0.0278227,0
0.733997,0.000357845,0.146032,0.86437,-0.0285478,0
0.754364,0.000508946,0.162765,0.821616,-0.0288571,0
0.773975,0.000642142,0.180086,0.883269,-0.0292286,0
